Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,-0.00534187420407329,0.00675403772232795,0.118619293084781,0,0,0,20.9913292802924,0.148687583145988,1.44334517278086E-05,0.000481125697190546,0.0853076437223554,7.39327485145209E-05,0.16798778061547,0,0,0,0,0,0,package://jumping_robot_bit/meshes/trunk.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/trunk.STL,,躯干1-1,trunk_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_left,0.17129878510889,0.000442708357646156,0.00603782999119151,0,0,0,1.52221559202192,0.00234673721973383,-3.97817753566099E-05,9.20794865296911E-05,0.00356004791725936,5.93811943089879E-07,0.00422659613641289,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_left.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_left.STL,,左臂1-1,shoulder_left_axes,shoulder_left,shoulder_left,revolute,-0.010108,0.2578,0.16535,-1.5708,1.5671,3.1416,trunk,0,0,1,0,0,0,0,,,,,,,,
arm_right,0.170556178695416,0.000375210079987054,-0.00633364062334774,0,0,0,1.52899422213451,0.00234262083840886,-3.91982024555774E-05,-9.14879736123032E-05,0.00355935686991189,9.72152961582566E-07,0.00422289414668556,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_right.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_right.STL,,右臂1-1,shoulder_right_axes,shoulder_right,shoulder_right,revolute,-0.010108,-0.2572,0.16535,-1.5708,1.5671,3.1416,trunk,0,0,-1,0,0,0,0,,,,,,,,
hip_left,0.000264789253374809,0.00227805357561395,-0.0517419332665672,0,0,0,2.77226286740998,0.0023049484140908,-1.09491711506052E-06,-1.89821568178063E-06,0.00278714724661066,1.49357955164056E-05,0.00265411614232658,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_left.STL,,左髋1-1,hip_left_x_axes,hip_left_x,hip_left_x,revolute,-0.00030622,0.10571,-0.214,-2.749,1.565,-2.749,trunk,0.0053659,0,-0.99999,0,0,0,0,,,,,,,,
thigh_left,0.204287895415816,0.0124777468787663,0.000500837159685782,0,0,0,2.24457308468349,0.00442080408639463,-0.000245782570039787,4.50972346569982E-05,0.0213102863092065,3.30972136102978E-06,0.0200095245906164,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_left.STL,,左大腿1-1,hip_left_y_axes,hip_left_y,hip_left_y,revolute,0,0,0,1.5708,0,0,hip_left,0.0022222,0,1,0,0,0,0,,,,,,,,
calf_left,0.181032784199706,0.00565154362853778,-0.000982461930575926,0,0,0,1.75714585360334,0.00244024178170416,4.65980388113809E-05,4.37580326522984E-06,0.0176434835873639,6.29877407417139E-07,0.0171561338289637,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_left.STL,,左小腿1-1,knee_left_axes,knee_left,knee_left,revolute,0.45,0,0,0,0.0022222,0.0011465,thigh_left,0,0,1,0,0,0,0,,,,,,,,
ankle_left,-0.000291440769667126,-0.0684593324204074,-0.000437809199314423,0,0,0,0.426454571289873,0.000255094335806165,-1.25868946739572E-06,-2.10382379616686E-07,0.000154854293221948,1.04671610649461E-07,0.000252474732545182,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_left.STL,,左脚踝1-1,ankle_left_y_axes,ankle_left_y,ankle_left_y,revolute,0.45,0,0,0,0,-2.4552E-05,calf_left,0,0,-1,0,0,0,0,,,,,,,,
foot_left,0.0590531834572885,-0.000380316917685072,0.0199411900252325,0,0,0,1.17881866734593,0.00491833304250234,-4.29169770328238E-06,4.81265004807636E-05,0.0041746135663407,4.80971782201846E-05,0.000947864437557166,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_left.STL,,左脚底板1-1,ankle_left_x_axes,ankle_left_x,ankle_left_x,revolute,0,0,0,-1.5708,0.018109,0,ankle_left,0,0,-1,0,0,0,0,,,,,,,,
hip_right,-3.7776368103648E-06,-0.00227882137697193,-0.0517485653331689,0,0,0,2.77194420190797,0.00230482428849897,-6.70310353237295E-08,-3.70150028743481E-08,0.00278711231133902,-1.49675088112005E-05,0.00265407493550054,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_right.STL,,右髋1-1,hip_right_x_axes,hip_right_x,hip_right_x,revolute,-0.00030622,-0.087202,-0.214,0,1.5708,0,trunk,0,0,-1,0,0,0,0,,,,,,,,
thigh_right,0.204156519435907,0.0124833192151274,-0.000565342116547352,0,0,0,2.24425664830097,0.00442143540006441,-0.000241684269494595,-3.35800335081274E-05,0.0213361331501482,-1.17414169375635E-06,0.0200349718214172,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_right.STL,,右大腿1-1,hip_right_y_axes,hip_right_y,hip_right_y,revolute,0,0,0,1.5708,0.0053659,0.0022223,hip_right,0.0022222,0,-1,0,0,0,0,,,,,,,,
calf_right,0.182607646122491,0.00618307409075642,0.000139878803574287,0,0,0,1.77439208129272,0.00243748122118515,1.28737931709971E-05,-1.99355496303212E-06,0.0176413053722977,-1.02205579440191E-06,0.0171504337257555,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_right.STL,,右小腿1-1,knee_right_axes,knee_right,knee_right,revolute,0.45,0,0,0,-0.0022222,-0.0010806,thigh_right,0,0,-1,0,0,0,0,,,,,,,,
ankle_right,-0.000291429067652622,-0.068459354200451,0.000437807510059632,0,0,0,0.426454169205949,0.00025509368882932,-1.25880424282732E-06,2.10266865293753E-07,0.000154854163686582,-1.04747467108859E-07,0.000252474140759807,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_right.STL,,右脚踝1-1,ankle_right_y_axes,ankle_right_y,ankle_right_y,revolute,0.449,0,0,0,0,0.0022026,calf_right,0,0,1,0,0,0,0,,,,,,,,
foot_right,0.0590550454849722,0.000380265162191459,0.0199340670780957,0,0,0,1.1788830860114,0.00491831496054419,4.30924527043095E-06,4.80811366164594E-05,0.00417457553292186,-4.80981954126126E-05,0.000947871401809515,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_right.STL,,右脚底板1-1,ankle_right_x_axes,ankle_right_x,ankle_right_x,revolute,0,0,0,-1.5708,-0.022852,0,ankle_right,0,0,-1,0,0,0,0,,,,,,,,
