Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,-2.80955826868316E-05,0.00645574186501153,0.14861929317994,0,0,0,0.00747022394380723,5.29137306564672E-05,5.13645782324622E-09,1.71219109135079E-07,3.03585920743277E-05,2.63105863797126E-08,5.9782128334719E-05,0,0,0,0,0,0,package://jumping_robot_bit/meshes/trunk.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/trunk.STL,,躯干1-1,trunk_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_left,0.171298785113514,0.000442708356048418,0.00603782999099417,0,0,0,0.00149236822747247,2.30072276444492E-06,-3.90017405456897E-08,9.02740064016444E-08,3.49024305613659E-06,5.82168571657393E-10,4.14372170236555E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_left.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_left.STL,,左臂1-1,shoulder_left_axes,shoulder_left,shoulder_left,revolute,-0.00479373615441001,0.257497547194648,0.19535000000684,-1.5707963267949,1.56712606042027,3.14159265358979,trunk,0,0,1,0,0,0,0,,,,,,,,
arm_right,0.170556178695573,0.000375210079966151,-0.00633364062331121,0,0,0,0.00149901506259451,2.296687096478E-06,-3.84296102496098E-08,-8.96940917787557E-08,3.48956555873211E-06,9.53091138330379E-10,4.14009230066788E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_right.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/arm_right.STL,,右臂1-1,shoulder_right_axes,shoulder_right,shoulder_right,revolute,-0.00479373615441006,-0.257497452798624,0.19535000000684,-1.5707963267949,1.56712606042021,3.14159265358979,trunk,0,0,-1,0,0,0,0,,,,,,,,
hip_left,0.000264789253378472,0.00227805357561409,-0.0517419332665672,0,0,0,0.000986570415448391,8.20266339534092E-07,-3.89650218882758E-10,-6.75521594939712E-10,9.9186734754828E-07,5.31522972114075E-09,9.4452531755394E-07,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_left.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_left.STL,,左髋1-1,hip_left_x_axes,hip_left_x,hip_left_x,revolute,0.00500755489754816,0.105409044507674,-0.184,-2.74895393765495,1.56498843183028,-2.74895989990149,trunk,0.00536591255347294,0,-0.999985603387603,0,0,0,0,,,,,,,,
thigh_left,0.204287895415818,0.0124777468787663,0.000500837159686157,0,0,0,0.000798780457182738,1.57323988841179E-06,-8.746710678281E-08,1.60488379562423E-08,7.58373178264258E-06,1.1778367833002E-09,7.12082725646904E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_left.STL,1,1,0,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_left.STL,,左大腿1-1,hip_left_y_axes,hip_left_y,hip_left_y,revolute,0,0,0,1.57078440237293,0,0,hip_left,0.00222221677924413,0,0.999997530873244,0,0,0,0,,,,,,,,
calf_left,0.181032784199705,0.0056515436285378,-0.000982461930575967,0,0,0,0.000625318809111509,8.68413445446322E-07,1.65829319613465E-08,1.55722536129203E-09,6.27881978198005E-06,2.24155661002502E-10,6.10538570425755E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_left.STL,1,1,0,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_left.STL,,左小腿1-1,knee_left_axes,knee_left,knee_left,revolute,0.45000111110981,0,0,0,0.00222221714763328,0.00114653302611344,thigh_left,0,0,1,0,0,0,0,,,,,,,,
ankle_left,-0.000291440769667133,-0.0684593324204073,-0.00043780919931441,0,0,0,0.000151763192629848,9.07809024221229E-08,-4.47932194802746E-10,-7.48691742408135E-11,5.51082894028284E-08,3.72496835051412E-11,8.9848659268748E-08,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_left.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/ankle_left.STL,,左脚踝1-1,ankle_left_y_axes,ankle_left_y,ankle_left_y,revolute,0.449999999999998,0,0,0,0,-2.45516141042258E-05,calf_left,0,0,-1,0,0,0,0,,,,,,,,
foot_left,0.0590531834572885,-0.000380316917685058,0.0199411900252326,0,0,0,1.17881866734593,0.00491833304250234,-4.29169770328225E-06,4.81265004807638E-05,0.0041746135663407,4.80971782201844E-05,0.000947864437557166,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/foot_left.STL,,左脚底板1-1,ankle_left_x_axes,ankle_left_x,ankle_left_x,revolute,0,0,0,-1.5707963267949,0.0181093582985449,0,ankle_left,0,0,-1,0,0,0,0,,,,,,,,
hip_right,-3.77763680992071E-06,-0.00227882137697193,-0.0517485653331689,0,0,0,0.00098645701135515,8.20222166725611E-07,-2.38544609693017E-11,-1.31725988876704E-11,9.91854915067267E-07,-5.32651559117461E-09,9.44510653203038E-07,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_right.STL,1,1,1,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/hip_right.STL,,右髋1-1,hip_right_x_axes,hip_right_x,hip_right_x,revolute,0.00500755489754856,-0.0874999528221765,-0.183999999998764,0,1.5707963267949,0,trunk,0,0,-1,0,0,0,0,,,,,,,,
thigh_right,0.204156519435908,0.0124833192151273,-0.000565342116547463,0,0,0,0.000798667846370452,1.573464555182E-06,-8.60086368313086E-08,-1.19501898605433E-08,7.59292994667184E-06,-4.17844019131701E-10,7.12988321046757E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_right.STL,1,1,0,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/thigh_right.STL,,右大腿1-1,hip_right_y_axes,hip_right_y,hip_right_y,revolute,0,0,0,1.57080825121687,0.00536593827613417,0.0022222506020442,hip_right,0.00222221678013116,0,-0.999997530873243,0,0,0,0,,,,,,,,
calf_right,0.182607646122491,0.00618307409075639,0.000139878803574273,0,0,0,0.000631456256687803,8.67431039570756E-07,4.58142105278622E-09,-7.09450164780149E-10,6.27804461647233E-06,-3.63720923274704E-10,6.10335719777712E-06,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_right.STL,1,1,0,1,0,0,0,0,0,0,package://jumping_robot_bit/meshes/calf_right.STL,,右小腿1-1,knee_right_axes,knee_right,knee_right,revolute,0.45000111111102,0,0,0,-0.00222221731158092,-0.00108064028281444,thigh_right,0,0,-1,0,0,0,0,,,,,,,,
